,nfolds,ntrees,max_depth,min_rows,learn_rate,validation_frame,training_frame,model_id,runtime
actual,5,217,15,100,0.1,,automl_training_hour4.hex,GBM_1_AutoML_20190419_022821,1850
actual,5,126,15,100,0.1,,automl_training_hour2.hex,GBM_4_AutoML_20190419_001144,1850
actual,5,892,3,1,0.08,,automl_training_hour6.hex,GBM_grid_1_AutoML_20190419_030035_model_1,1850
actual,5,221,15,100,0.1,,automl_training_hour3.hex,GBM_4_AutoML_20190419_015759,1850
actual,5,217,15,100,0.1,,automl_training_hour4.hex,GBM_5_AutoML_20190419_022821,1850
actual,5,239,15,100,0.1,,automl_training_hour6.hex,GBM_2_AutoML_20190419_030035,1850
actual,5,217,15,100,0.1,,automl_training_hour4.hex,GBM_2_AutoML_20190419_022821,1850
actual,5,217,15,100,0.1,,automl_training_hour4.hex,GBM_4_AutoML_20190419_022821,1850
actual,5,239,15,100,0.1,,automl_training_hour6.hex,GBM_3_AutoML_20190419_030035,1850
actual,5,221,15,100,0.1,,automl_training_hour3.hex,GBM_5_AutoML_20190419_015759,1850
actual,5,9,10,5,0.5,,automl_training_hour4.hex,GBM_grid_1_AutoML_20190419_022821_model_2,1850
actual,5,126,15,100,0.1,,automl_training_hour2.hex,GBM_2_AutoML_20190419_001144,1850
actual,5,239,15,100,0.1,,automl_training_hour6.hex,GBM_5_AutoML_20190419_030035,1850
actual,5,126,15,100,0.1,,automl_training_hour2.hex,GBM_3_AutoML_20190419_001144,1850
actual,5,221,15,100,0.1,,automl_training_hour3.hex,GBM_3_AutoML_20190419_015759,1850
actual,5,126,15,100,0.1,,automl_training_hour2.hex,GBM_1_AutoML_20190419_001144,1850
actual,5,126,15,100,0.1,,automl_training_hour2.hex,GBM_5_AutoML_20190419_001144,1850
actual,5,376,3,30,0.08,,automl_training_hour4.hex,GBM_grid_1_AutoML_20190419_022821_model_1,1850
actual,5,239,15,100,0.1,,automl_training_hour6.hex,GBM_4_AutoML_20190419_030035,1850
actual,5,221,15,100,0.1,,automl_training_hour3.hex,GBM_2_AutoML_20190419_015759,1850
actual,5,422,16,15,0.05,,automl_training_hour6.hex,GBM_grid_1_AutoML_20190419_030035_model_6,1850
actual,5,130,3,10,0.05,,automl_training_hour3.hex,GBM_grid_1_AutoML_20190419_015759_model_1,1850
actual,5,31,17,100,0.08,,automl_training_hour6.hex,GBM_grid_1_AutoML_20190419_030035_model_4,1850
actual,5,8,5,15,0.5,,automl_training_hour3.hex,GBM_grid_1_AutoML_20190419_015759_model_2,1850
actual,5,194,16,100,0.005,,automl_training_hour6.hex,GBM_grid_1_AutoML_20190419_030035_model_3,1850
actual,5,814,12,30,0.001,,automl_training_hour6.hex,GBM_grid_1_AutoML_20190419_030035_model_2,1850
actual,5,239,15,100,0.1,,automl_training_hour6.hex,GBM_1_AutoML_20190419_030035,1850
actual,5,8,7,100,0.08,,automl_training_hour6.hex,GBM_grid_1_AutoML_20190419_030035_model_5,1850
actual,5,1,4,30,0.5,,automl_training_hour3.hex,GBM_grid_1_AutoML_20190419_015759_model_3,1850
actual,5,3,15,100,0.1,,automl_training_hour.hex,GBM_1_AutoML_20190418_170819,1850
actual,5,1,15,5,0.05,,automl_training_hour4.hex,GBM_grid_1_AutoML_20190419_022821_model_3,1850
actual,5,217,15,100,0.1,,automl_training_hour4.hex,GBM_3_AutoML_20190419_022821,1850
actual,5,221,15,100,0.1,,automl_training_hour3.hex,GBM_1_AutoML_20190419_015759,1850
